source,target,link
vidup.me,coinhive.com,1
novamov.com,urldelivery.com,1
nowvideo.sx,urldelivery.com,1
thevideo.me,urldelivery.com,1
vidto.me,urldelivery.com,1
daclips.com,pubmatic.com,1
daclips.com,moatads.com,1
movpod.net,pubmatic.com,1
novamov.com,bnserving.com,1
novamov.com,moatads.com,1
novamov.com,pubmatic.com,1
nowvideo.sx,bnserving.com,1
nowvideo.sx,moatads.com,1
thevideo.me,bnserving.com,1
veoh.com,pubmatic.com,1
vidzi.tv,pubmatic.com,1
daclips.com,scorecardresearch.com,1
daclips.com,doubleclick.net,1
daclips.com,advertising.com,1
daclips.in,scorecardresearch.com,1
daclips.in,doubleclick.net,1
daclips.in,advertising.com,1
gorillavid.com,doubleclick.net,1
gorillavid.com,scorecardresearch.com,1
gorillavid.in,scorecardresearch.com,1
movpod.in,scorecardresearch.com,1
movpod.in,doubleclick.net,1
movpod.net,scorecardresearch.com,1
movpod.net,doubleclick.net,1
novamov.com,algovid.com,1
novamov.com,statcounter.com,1
novamov.com,advertising.com,1
nowvideo.sx,statcounter.com,1
nowvideo.sx,algovid.com,1
nowvideo.sx,advertising.com,1
openload.co,scorecardresearch.com,1
thevideobee.to,scorecardresearch.com,1
veoh.com,scorecardresearch.com,1
veoh.com,doubleclick.net,1
vidto.me,doubleclick.net,1
vidzi.tv,doubleclick.net,1
daclips.com,springserve.com,1
estream.to,gstatic.com,1
novamov.com,h8vzwpv.com,1
novamov.com,springserve.com,1
nowvideo.sx,h8vzwpv.com,1
nowvideo.sx,springserve.com,1
openload.co,gstatic.com,1
thevideo.me,gstatic.com,1
thevideobee.to,gstatic.com,1
veoh.com,gstatic.com,1
vidlox.tv,gstatic.com,1
vidto.me,gstatic.com,1
watchers.to,gstatic.com,1
novamov.com,vidible.tv,1
novamov.com,acloudimages.com,1
nowvideo.sx,vidible.tv,1
nowvideo.sx,acloudimages.com,1
daclips.com,adnxs.com,1
daclips.com,demdex.net,1
daclips.com,streamrail.net,1
gorillavid.com,quantserve.com,1
gorillavid.in,quantserve.com,1
gorillavid.in,adnxs.com,1
movpod.in,quantserve.com,1
movpod.net,quantserve.com,1
nowvideo.sx,streamrail.net,1
veoh.com,adnxs.com,1
veoh.com,demdex.net,1
vidzi.tv,quantserve.com,1
vidzi.tv,adnxs.com,1
vidzi.tv,demdex.net,1
daclips.com,hanlowu.info,1
daclips.com,tapad.com,1
daclips.com,adsrvr.org,1
daclips.com,bluekai.com,1
daclips.com,adswithsalt.com,1
daclips.com,lkqd.net,1
daclips.in,adswithsalt.com,1
daclips.in,adsrvr.org,1
estream.to,cloudflare.com,1
gorillavid.com,revcontent.com,1
gorillavid.com,criteo.net,1
gorillavid.com,criteo.com,1
gorillavid.com,adswithsalt.com,1
gorillavid.in,revcontent.com,1
gorillavid.in,criteo.net,1
gorillavid.in,criteo.com,1
movpod.in,revcontent.com,1
movpod.in,criteo.net,1
movpod.in,criteo.com,1
movpod.net,revcontent.com,1
movpod.net,criteo.net,1
movpod.net,criteo.com,1
movpod.net,adswithsalt.com,1
nowvideo.sx,lkqd.net,1
openload.co,cloudflare.com,1
openload.co,crwdcntrl.net,1
speedvid.net,cloudflare.com,1
streamango.com,cloudflare.com,1
streamin.to,codeonclick.com,1
thevideobee.to,crwdcntrl.net,1
veehd.com,codeonclick.com,1
veoh.com,tapad.com,1
veoh.com,bluekai.com,1
veoh.com,crwdcntrl.net,1
veoh.com,adsrvr.org,1
vidto.me,codeonclick.com,1
vidzi.tv,codeonclick.com,1
vidzi.tv,bluekai.com,1
vidzi.tv,tapad.com,1
daclips.com,taboola.com,1
daclips.com,rlcdn.com,1
daclips.com,agkn.com,1
daclips.com,rubiconproject.com,1
daclips.com,yahoo.com,1
daclips.com,streamrail.com,1
daclips.in,taboola.com,1
daclips.in,rubiconproject.com,1
daclips.in,w55c.net,1
daclips.in,turn.com,1
estream.to,onclkds.com,1
estream.to,adskeeper.co.uk,1
nowvideo.sx,pushnative.com,1
nowvideo.sx,vertamedia.com,1
nowvideo.sx,streamrail.com,1
speedvid.net,jwpltx.com,1
streamin.to,onclkds.com,1
streamin.to,pxl2015x1.com,1
streamin.to,adk2x.com,1
streamin.to,adwsys.com,1
thevideobee.to,pxl2015x1.com,1
thevideobee.to,adk2x.com,1
thevideobee.to,adwsys.com,1
veoh.com,taboola.com,1
veoh.com,rlcdn.com,1
veoh.com,w55c.net,1
veoh.com,nexac.com,1
veoh.com,addthis.com,1
veoh.com,krxd.net,1
veoh.com,bidswitch.net,1
veoh.com,rfihub.com,1
veoh.com,turn.com,1
vidlox.tv,adskeeper.co.uk,1
vidlox.tv,pushnative.com,1
vidup.me,pushnative.com,1
vidup.me,onclkds.com,1
vidup.me,jwpltx.com,1
vidzi.tv,pxl2015x1.com,1
vidzi.tv,adk2x.com,1
vidzi.tv,adskeeper.co.uk,1
vidzi.tv,adwsys.com,1
vidzi.tv,rfihub.com,1
vidzi.tv,rubiconproject.com,1
vidzi.tv,yahoo.com,1
vidzi.tv,nexac.com,1
vidzi.tv,addthis.com,1
vidzi.tv,agkn.com,1
vidzi.tv,krxd.net,1
vidzi.tv,bidswitch.net,1
vidzi.tv,w55c.net,1
watchers.to,jwpltx.com,1
daclips.com,connexity.net,1
daclips.com,kalmloda.com,1
daclips.com,btrll.com,1
daclips.com,liadm.com,1
daclips.com,adhigh.net,1
daclips.in,kalmloda.com,1
daclips.in,adform.net,1
daclips.in,everesttech.net,1
estream.to,a4g.com,1
gorillavid.com,fontawesome.com,1
gorillavid.com,178.175.132.130,1
gorillavid.com,nimdinb.com,1
gorillavid.in,fontawesome.com,1
gorillavid.in,178.175.132.130,1
gorillavid.in,nimdinb.com,1
movpod.in,zirobata.com,1
movpod.net,zirobata.com,1
nowvideo.sx,advertisingpromotionpro.com,1
nowvideo.sx,shoofle.tv,1
openload.co,cdnads.com,1
openload.co,mgid.com,1
speedvid.net,toro-tags.com,1
streamin.to,loolav.space,1
streamplay.to,toro-tags.com,1
thevideo.me,adblockerkillswebsites.pw,1
thevideo.me,adrunnr.com,1
thevideobee.to,loolav.space,1
thevideobee.to,gooclasrv.com,1
thevideobee.to,mgid.com,1
veoh.com,mathtag.com,1
veoh.com,liadm.com,1
veoh.com,rundsp.com,1
veoh.com,exelator.com,1
veoh.com,facebook.com,1
veoh.com,twitter.com,1
veoh.com,ru4.com,1
vidlox.tv,facebook.com,1
vidlox.tv,a4g.com,1
vidlox.tv,cdnads.com,1
vidtodo.com,gooclasrv.com,1
vidtodo.com,wwwpromoter.com,1
vidup.me,adblockerkillswebsites.pw,1
vidup.me,adrunnr.com,1
vidzi.tv,twitter.com,1
vidzi.tv,ru4.com,1
watchers.to,wwwpromoter.com,1
